ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Order Date,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,State,Overall_Profit,Ship Date,City,Gender
1994,1983,Graduation,Married,,1,0,06/09/2014,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,California,85.3092,6/14/2014,Los Angeles,Male
387,1976,Basic,Married,7500,0,0,06/09/2014,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,California,68.3568,6/14/2014,Los Angeles,Female
2125,1959,Graduation,Divorced,63033,0,0,4/15/2017,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,North Carolina,5.4432,4/20/2017,Concord,Male
8180,1952,Master,Divorced,59354,1,1,12/05/2016,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,Washington,132.5922,12/10/2016,Seattle,Male
2569,1987,Graduation,Married,17323,0,0,11/22/2015,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,Texas,-123.858,11/26/2015,Fort Worth,Male
2114,1946,PhD,Single,82800,0,0,11/22/2015,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,Texas,-3.816,11/26/2015,Fort Worth,Female
9736,1980,Graduation,Married,41850,1,1,11/11/2014,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,Wisconsin,13.3176,11/18/2014,Madison,Female
4939,1946,Graduation,Together,37760,0,0,5/13/2014,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,Utah,9.99,5/15/2014,West Jordan,Male
6565,1949,Master,Married,76995,0,1,8/27/2014,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,California,2.4824,09/01/2014,San Francisco,Male
2278,1985,2n Cycle,Single,33812,1,0,8/27/2014,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,California,16.011,09/01/2014,San Francisco,Female
9360,1982,Graduation,Married,37040,0,0,8/27/2014,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,California,7.384,09/01/2014,San Francisco,Male
5376,1979,Graduation,Married,2447,1,0,12/09/2016,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,Nebraska,5.0596,12/13/2016,Fremont,Male
1993,1949,PhD,Married,58607,0,1,12/09/2016,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,Nebraska,15.6884,12/13/2016,Fremont,Male
4047,1954,PhD,Married,65324,0,1,7/16/2017,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,Pennsylvania,-1.0196,7/18/2017,Philadelphia,Male
1409,1951,Graduation,Together,40689,0,1,9/25/2015,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,Utah,240.2649,9/30/2015,Orem,Female
7892,1969,Graduation,Single,18589,0,0,1/16/2016,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,California,4.2224,1/20/2016,Los Angeles,Male
2404,1976,Graduation,Married,53359,1,1,1/16/2016,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,California,11.7741,1/20/2016,Los Angeles,Male
5255,1986,Graduation,Single,,1,0,9/17/2015,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,Pennsylvania,-1665.0522,9/21/2015,Philadelphia,Female
9422,1989,Graduation,Married,38360,1,0,9/17/2015,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,Pennsylvania,-7.0532,9/21/2015,Philadelphia,Female
1966,1965,PhD,Married,84618,0,0,9/17/2015,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,Pennsylvania,15.525,9/21/2015,Philadelphia,Male
6864,1989,Master,Divorced,10979,0,0,9/17/2015,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,Pennsylvania,1.1016,9/21/2015,Philadelphia,Male
3033,1963,Master,Together,38620,0,0,9/17/2015,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,Pennsylvania,9.7092,9/21/2015,Philadelphia,Male
5710,1970,Graduation,Together,40548,0,1,9/17/2015,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,Pennsylvania,-5.715,9/21/2015,Philadelphia,Male
7373,1952,PhD,Divorced,46610,0,2,9/17/2015,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,Pennsylvania,3.546,9/21/2015,Philadelphia,Male
8755,1946,Master,Married,68657,0,0,10/19/2017,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,Texas,9.9468,10/23/2017,Houston,Female
10738,1951,Master,Single,49389,1,1,12/08/2016,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,Texas,123.4737,12/10/2016,Richardson,Female
4339,1970,PhD,Married,67353,0,1,12/08/2016,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,Texas,-147.963,12/10/2016,Richardson,Male
10755,1976,2n Cycle,Married,23718,1,0,12/27/2015,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,Texas,35.415,12/31/2015,Houston,Male
8595,1973,Graduation,Widow,42429,0,1,12/27/2015,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,Texas,-46.9764,12/31/2015,Houston,Male
2968,1943,PhD,Divorced,48948,0,0,12/27/2015,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,Texas,-15.147,12/31/2015,Houston,Male
8601,1980,Graduation,Married,80011,0,1,12/27/2015,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,Texas,41.7564,12/31/2015,Houston,Male
503,1985,Master,Married,20559,1,0,09/10/2017,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,Illinois,16.5564,9/15/2017,Naperville,Male
8430,1957,Graduation,Together,21994,0,1,7/17/2016,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,California,3.894,7/22/2016,Los Angeles,Male
7281,1959,PhD,Single,,0,0,9/19/2017,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,Florida,9.5616,9/23/2017,Melbourne,Female
2139,1975,Master,Married,7500,1,0,03/11/2016,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,Minnesota,19.7714,3/13/2016,Eagan,Female
1371,1976,Graduation,Single,79941,0,0,03/11/2016,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,Minnesota,8.2062,3/13/2016,Eagan,Female
9909,1996,2n Cycle,Married,7500,0,0,10/20/2014,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,Michigan,8.4784,10/25/2014,Westland,Male
7286,1968,Graduation,Together,41728,1,0,6/20/2016,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,Delaware,4.95,6/25/2016,Dover,Male
7244,1951,Graduation,Single,,2,1,6/20/2016,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,Delaware,6.104,6/25/2016,Dover,Female
6566,1954,PhD,Married,72550,1,1,4/18/2015,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,Indiana,17.9634,4/22/2015,New Albany,Male
8614,1957,Graduation,Widow,65486,0,1,4/18/2015,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,Indiana,35.3346,4/22/2015,New Albany,Male
4114,1964,Master,Married,79143,0,0,4/18/2015,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,Indiana,2.9568,4/22/2015,New Albany,Male
1331,1977,Graduation,Single,35790,1,0,4/18/2015,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,Indiana,17.0981,4/22/2015,New Albany,Female
2225,1977,Graduation,Divorced,82582,0,0,12/11/2016,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,New York,6.2566,12/17/2016,New York City,Male
9381,1978,Graduation,Married,66373,1,1,12/11/2016,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,New York,298.6855,12/17/2016,New York City,Male
6260,1955,Master,Together,82384,0,0,6/17/2016,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,New York,52.14,6/18/2016,Troy,Female
10383,1966,Graduation,Divorced,70287,0,0,6/17/2016,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,New York,15.552,6/18/2016,Troy,Male
7437,1988,Graduation,Single,27938,1,0,6/17/2016,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,New York,7.098,6/18/2016,Troy,Female
8557,1982,Graduation,Single,,1,0,6/17/2016,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,New York,6.9888,6/18/2016,Troy,Female
8375,1968,PhD,Married,55954,0,1,6/17/2016,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,New York,3.3,6/18/2016,Troy,Male
6853,1982,Master,Single,75777,0,0,6/17/2016,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,New York,16.362,6/18/2016,Troy,Male
3076,1975,Graduation,Together,66653,1,1,6/17/2016,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,New York,0.84,6/18/2016,Troy,Female
1012,1952,Graduation,Single,61823,0,1,11/24/2015,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,California,6.1512,11/30/2015,Los Angeles,Male
6518,1951,PhD,Widow,67680,0,1,11/24/2015,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,California,9.3612,11/30/2015,Los Angeles,Female
4137,1948,Graduation,Together,70666,0,0,11/24/2015,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,California,68.9631,11/30/2015,Los Angeles,Male
8082,1971,Graduation,Married,25721,1,0,11/24/2015,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,California,22.3328,11/30/2015,Los Angeles,Female
1386,1967,Graduation,Together,32474,1,1,4/30/2015,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,Illinois,-15.2225,05/05/2015,Chicago,Male
9369,1979,2n Cycle,Single,88194,0,1,12/05/2014,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,Arizona,111.3024,12/10/2014,Gilbert,Female
4477,1958,Graduation,Together,69096,0,1,12/05/2014,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,Arizona,62.988,12/10/2014,Gilbert,Female
1357,1970,Graduation,Together,74854,1,2,06/04/2016,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,Virginia,35.6636,06/06/2016,Springfield,Female
1402,1954,Master,Married,66991,0,0,9/18/2016,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,New York,1.731,9/23/2016,New York City,Male
10629,1973,2n Cycle,Married,,1,0,9/14/2017,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,Michigan,8.763,9/17/2017,Jackson,Female
6312,1959,Graduation,Married,65031,0,1,4/26/2015,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,Tennessee,-114.3912,05/02/2015,Memphis,Female
8132,1975,PhD,Married,60631,1,1,4/26/2015,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,Tennessee,1.213,05/02/2015,Memphis,Female
1050,1952,Graduation,Married,28332,0,0,4/26/2015,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,Tennessee,-18.196,05/02/2015,Memphis,Female
5846,1977,Graduation,Divorced,40246,1,0,12/09/2017,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,Texas,-1.9344,12/11/2017,Houston,Female
1859,1972,Master,Married,75251,0,0,12/09/2017,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,Texas,-5.8248,12/11/2017,Houston,Male
7503,1976,Graduation,Single,75825,0,0,12/09/2017,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,Texas,2.724,12/11/2017,Houston,Female
10401,1976,2n Cycle,Together,26326,0,0,11/26/2014,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,Texas,-14.475,12/01/2014,Houston,Female
1618,1965,Graduation,Together,56046,0,0,06/12/2016,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,Alabama,56.2032,6/15/2016,Decatur,Female
3332,1985,Graduation,Single,29760,1,0,06/12/2016,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,Alabama,8.0352,6/15/2016,Decatur,Female
2261,1969,Graduation,Married,26304,1,0,10/12/2014,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,California,4.172,10/16/2014,San Francisco,Female
5346,1973,2n Cycle,Married,23559,1,0,10/12/2014,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,California,6.2031,10/16/2014,San Francisco,Female
4119,1963,Master,Together,38620,0,0,09/03/2015,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,North Carolina,62.8075,09/08/2015,Durham,Male
535,1987,Graduation,Divorced,81361,0,0,11/13/2017,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,Illinois,-48.9549,11/16/2017,Chicago,Male
5268,1960,Graduation,Married,29440,1,1,5/28/2017,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,South Carolina,33.2156,5/30/2017,Columbia,Male
273,1970,Master,Married,36138,1,1,10/26/2017,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,Minnesota,6.7966,11/02/2017,Rochester,Female
4452,1957,Graduation,Single,50388,0,1,10/26/2017,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,Minnesota,2.9568,11/02/2017,Rochester,Female
8504,1973,Graduation,Married,79593,0,0,04/05/2016,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,Texas,13.8572,04/10/2016,Houston,Female
771,1967,Graduation,Together,54178,0,1,9/17/2016,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,California,6.633,9/22/2016,Los Angeles,Male
8996,1957,PhD,Married,,2,1,9/17/2016,4,230,42,192,,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,California,8.2782,9/22/2016,Los Angeles,Male
9235,1957,Graduation,Single,,1,1,9/17/2016,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,California,3.1104,9/22/2016,Los Angeles,Female
5798,1973,Master,Together,,0,0,1/31/2015,87,445,37,359,,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,Minnesota,6.2208,02/05/2015,Minneapolis,Male
11178,1972,Master,Single,42394,1,0,1/31/2015,69,15,2,10,,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,Minnesota,16.5354,02/05/2015,Minneapolis,Male
2230,1970,PhD,Married,23626,1,0,1/31/2015,84,27,2,14,,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,Minnesota,16.1504,02/05/2015,Minneapolis,Male
7516,1983,Graduation,Married,30096,1,0,11/06/2017,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,Oregon,-3.788,11/12/2017,Portland,Female
7247,1960,Graduation,Widow,47916,0,1,11/09/2017,72,505,0,26,,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,New York,40.5426,11/11/2017,New York City,Male
11100,1972,Graduation,Divorced,51813,1,1,6/17/2017,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,California,17.9592,6/20/2017,San Francisco,Male
4646,1951,2n Cycle,Married,78497,0,0,09/06/2016,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,Minnesota,22.5852,09/11/2016,Saint Paul,Male
3037,1983,PhD,Married,50150,0,0,8/29/2016,32,135,46,92,,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,Illinois,22.6184,09/02/2016,Chicago,Female
1473,1960,2n Cycle,Single,47823,0,1,8/29/2016,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,Illinois,-10.7973,09/02/2016,Chicago,Male
1016,1959,PhD,Single,34554,0,1,8/29/2016,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,Illinois,-3.0396,09/02/2016,Chicago,Male
4518,1979,Graduation,Together,85693,0,1,12/01/2016,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,Minnesota,11.7208,12/04/2016,Rochester,Male
9370,1945,PhD,Married,65846,0,0,11/13/2015,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,Colorado,-26.8758,11/17/2015,Aurora,Female
8908,1959,Graduation,Married,87195,0,0,11/13/2015,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,Colorado,-3.8385,11/17/2015,Aurora,Male
8373,1979,Basic,Together,24594,1,0,11/13/2015,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,Colorado,-25.8174,11/17/2015,Aurora,Male
7533,1964,Graduation,Married,49096,1,1,11/23/2017,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,North Carolina,17.6016,11/28/2017,Charlotte,Female
2683,1969,Graduation,Married,52413,0,2,11/23/2017,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,North Carolina,2.0994,11/28/2017,Charlotte,Male
3629,1978,Graduation,Single,38557,1,0,11/23/2017,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,North Carolina,1.0738,11/28/2017,Charlotte,Male
10991,1960,Master,Married,89058,0,0,10/15/2015,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,Illinois,67.992,10/20/2015,Orland Park,Female
5077,1979,Graduation,Together,77298,0,1,12/25/2017,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,New York,10.9096,12/30/2017,New York City,Male
7431,1991,PhD,Single,68126,0,0,11/03/2016,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,Iowa,22.788,11/10/2016,Urbandale,Female
3267,1963,Master,Together,57288,0,1,11/03/2016,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,Iowa,13.3476,11/10/2016,Urbandale,Male
999,1991,Graduation,Single,86037,0,0,8/25/2014,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,Ohio,14.5348,8/27/2014,Columbus,Male
9215,1980,PhD,Married,43974,1,0,8/25/2014,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,Ohio,1.652,8/27/2014,Columbus,Female
2286,1962,Graduation,Single,50785,1,1,8/25/2014,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,Ohio,7.4925,8/27/2014,Columbus,Female
1592,1970,Graduation,Married,90765,0,0,8/25/2014,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,Ohio,44.0316,8/27/2014,Columbus,Female
367,1978,2n Cycle,Married,36550,1,0,03/02/2015,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,Washington,165.3813,03/06/2015,Seattle,Female
5234,1967,2n Cycle,Together,30753,1,1,04/05/2015,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,Tennessee,-115.7156,04/10/2015,Bristol,Male
9862,1969,Graduation,Together,21918,1,0,06/12/2016,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,Delaware,18.3456,6/15/2016,Wilmington,Male
9805,1953,Master,Together,56129,0,1,06/12/2016,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,Delaware,13.878,6/15/2016,Wilmington,Female
6205,1967,Master,Single,32557,1,0,06/12/2016,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,Delaware,63.4368,6/15/2016,Wilmington,Male
8442,1985,Master,Married,19510,2,0,06/12/2016,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,Delaware,51.759,6/15/2016,Wilmington,Male
7386,1976,Graduation,Divorced,30992,1,0,06/12/2016,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,Delaware,19.7316,6/15/2016,Wilmington,Male
7215,1983,Graduation,Single,101970,0,0,12/26/2014,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,Texas,-8.5794,12/28/2014,Houston,Male
1491,1965,2n Cycle,Together,71488,0,0,9/20/2014,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,Illinois,-407.682,9/25/2014,Bloomington,Male
11071,1984,Graduation,Single,79607,0,0,11/05/2017,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,Arizona,-1.8308,11/12/2017,Phoenix,Female
3381,1953,Master,Married,54348,1,1,11/05/2017,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,Arizona,30.499,11/12/2017,Phoenix,Male
8268,1961,PhD,Married,,0,1,11/06/2016,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0,California,-9.1602,11/10/2016,Los Angeles,Female
11051,1956,PhD,Together,77376,1,1,11/06/2016,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,California,26.2416,11/10/2016,Los Angeles,Male
8026,1952,Graduation,Married,62998,0,1,02/02/2017,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,Ohio,-11.994,02/05/2017,Columbus,Male
433,1958,Master,Alone,61331,1,1,02/02/2017,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,Ohio,29.364,02/05/2017,Columbus,Female
9597,1969,Graduation,Married,73448,0,0,02/02/2017,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,Ohio,6.9732,02/05/2017,Columbus,Male
1295,1963,Graduation,Married,,0,1,10/13/2016,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,3,11,0,California,9.6192,10/19/2016,Roseville,Male
5290,1964,PhD,Married,41551,1,1,10/13/2016,51,220,0,33,,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,California,16.6568,10/19/2016,Roseville,Female
1685,1967,PhD,Together,62981,0,0,10/13/2016,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,California,3.456,10/19/2016,Roseville,Female
5342,1976,Basic,Divorced,9548,1,0,10/13/2016,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,California,1.9698,10/19/2016,Roseville,Female
9579,1959,PhD,Married,33762,2,1,10/13/2016,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,California,26.6616,10/19/2016,Roseville,Female
7660,1973,PhD,Alone,35860,1,1,10/13/2016,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,California,18.4464,10/19/2016,Roseville,Male
1461,1965,PhD,Divorced,36921,1,1,10/13/2016,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,California,20.6976,10/19/2016,Roseville,Female
821,1992,Master,Single,92859,0,0,09/05/2016,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0,Pennsylvania,10.35,09/07/2016,Philadelphia,Male
11084,1976,Master,Together,65104,0,1,9/18/2017,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,California,2.3814,9/23/2017,San Francisco,Male
8690,1962,Graduation,Married,86111,0,0,9/18/2017,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,California,5.1042,9/23/2017,San Francisco,Male
